source,listing_id,bank_name,property_name,location,application_deadline,auction_date,reserve_price,details_url,date_found
ForeclosureIndia,2266500,ASREC (India) Limited,Flat in Bardez,Bardez,11-06-2026,12-06-2026,102000000,https://foreclosureindia.com/auction/goa/2266500,2026-06-08
ForeclosureIndia,2265269,GIC Housing Finance Limited,Flat in ponda,ponda,13-06-2026,15-06-2026,9059874,https://foreclosureindia.com/auction/goa/2265269,2026-06-08
ForeclosureIndia,2261445,Debts Recovery Tribunal - III,Residential Villa in Bardez,Bardez,20-06-2026,23-06-2026,28563000,https://foreclosureindia.com/auction/goa/2261445,2026-06-08
ForeclosureIndia,2259069,Reliance Asset Reconstruction Company Ltd,Commercial Property in Mormugao,Mormugao,16-06-2026,17-06-2026,4400000,https://foreclosureindia.com/auction/goa/2259069,2026-06-08
ForeclosureIndia,2254858,Punjab National Bank,Flat in Bordem,Bordem,08-06-2026,08-06-2026,2600000,https://foreclosureindia.com/auction/goa/2254858,2026-06-08
ForeclosureIndia,2254841,Punjab National Bank,Flat in Bordem,Bordem,08-06-2026,08-06-2026,1800000,https://foreclosureindia.com/auction/goa/2254841,2026-06-08
ForeclosureIndia,2254838,Punjab National Bank,Flat in Pirazona,Pirazona,08-06-2026,08-06-2026,3100000,https://foreclosureindia.com/auction/goa/2254838,2026-06-08
ForeclosureIndia,2254837,Punjab National Bank,Flat in Joefil Nagar,Joefil Nagar,08-06-2026,08-06-2026,3500000,https://foreclosureindia.com/auction/goa/2254837,2026-06-08
ForeclosureIndia,2254836,Punjab National Bank,Shops in Rukmini Residency,Rukmini Residency,08-06-2026,08-06-2026,1500000,https://foreclosureindia.com/auction/goa/2254836,2026-06-08
ForeclosureIndia,2254819,Punjab National Bank,Flat in sancoale,sancoale,08-06-2026,08-06-2026,3750000,https://foreclosureindia.com/auction/goa/2254819,2026-06-08
ForeclosureIndia,2254818,Punjab National Bank,Flat in Burdem,Burdem,08-06-2026,08-06-2026,3700000,https://foreclosureindia.com/auction/goa/2254818,2026-06-08
ForeclosureIndia,2254805,Punjab National Bank,Flat in Davorlim,Davorlim,08-06-2026,08-06-2026,6610000,https://foreclosureindia.com/auction/goa/2254805,2026-06-08
ForeclosureIndia,2246373,Saraswat Co-op Bank Ltd,House in Pernem,Pernem,08-06-2026,10-06-2026,75251000,https://foreclosureindia.com/auction/goa/2246373,2026-06-08
